解析到 181 手
加载表: full
  手 方  招         前值    走后    最佳    判定        羊  备注
156 羊  C3→D3     和棋         和棋    和棋    完美        7  着:胜0/和13/败0
157 狼  E3→E2     和棋         和棋    和棋    完美        7  吃:安全0/毒0
158 羊  D3→E3     和棋         和棋    和棋    完美        7  着:胜0/和10/败1
159 狼  E2→E1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
160 羊  E3→E2     和棋         和棋    和棋    完美        7  着:胜0/和12/败1
161 狼  E1→D1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
162 羊  C4→C3     和棋         和棋    和棋    完美        7  着:胜0/和11/败1
163 狼  D5→C5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
164 羊  D4→C4     和棋         和棋    和棋    完美        7  着:胜0/和8/败9
165 狼  D1→C1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
166 羊  D2→C2     和棋         和棋    和棋    完美        7  着:胜0/和15/败0
167 狼  C1→B1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
168 羊  C2→B2     和棋         和棋    和棋    完美        7  着:胜0/和15/败0
169 狼  C5→D5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
170 羊  C4→D4     和棋         和棋    和棋    完美        7  着:胜0/和17/败0
171 狼  B5→C5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
172 羊  B4→C4     和棋         和棋    和棋    完美        7  着:胜0/和19/败0
173 狼  B1→C1     和棋         和棋    和棋    完美        7  吃:安全0/毒0
174 羊  C3→C2     和棋         和棋    和棋    完美        7  着:胜0/和17/败0
175 狼  C5→B5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
176 羊  C4→B4     和棋         和棋    和棋    完美        7  着:胜0/和17/败0
177 狼  D5→C5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
178 羊  B4→C4     和棋         和棋    和棋    完美        7  着:胜0/和17/败0
179 狼  C5→D5     和棋         和棋    和棋    完美        7  吃:安全0/毒0
!! 第180手 羊 C4→D4 非法!
----------------------------------------------------------------------------
羊方: 完美 89 手, 败招/漏胜 0 手
狼方: 完美 90 手, 败招/漏胜 0 手

局面重复检测: 共 168 个不同局面, 出现>=2次的局面 11 个
  局面 ..... | SWSW. | ..S.S | S.SSS | .SW.. 出现在第 [31, 35] 手后
  局面 ..... | S.SWS | .WS.. | S.S.S | .SWS. 出现在第 [38, 42] 手后
  局面 ..... | SWSWS | ..S.. | S.S.S | .SWS. 出现在第 [39, 43] 手后
  局面 ...W. | .SS.S | ...W. | S.S.S | .SWS. 出现在第 [53, 57] 手后
  局面 ..SW. | ...SW | ..SS. | .SSS. | ...W. 出现在第 [89, 101] 手后
  局面 ..SW. | ...SW | ..S.S | .SSS. | ...W. 出现在第 [90, 98] 手后
  局面 ..SW. | ...SW | ..S.S | .SSS. | ....W 出现在第 [91, 99] 手后
  局面 ..SW. | ...SW | ..S.S | .SS.S | ...W. 出现在第 [93, 97] 手后
  局面 .W..W | .SSSS | .SWS. | ..S.. | ..... 出现在第 [138, 142] 手后
  局面 W...W | .SSSS | .SWS. | ..S.. | ..... 出现在第 [139, 143] 手后
  局面 .W.W. | S.SSS | ..... | .SS.S | ..W.. 出现在第 [175, 179] 手后

============================================================================
终局(第181手后): 轮到羊 · 羊剩 7 只
.W.W.
S.SSS
.....
.SS.S
..W..
当前局面真实值: 和棋 (dist=0)

羊方当前: 胜着 0 手, 和着 17 手, 败着 0 手

狼当前无可吃之羊。
